"resource_id","category_id"
"38904751","5543"
"38905142","5543"
"38905142","5544"
"38905142","5603"
"38905142","5604"
"38904229","5543"
"38904229","5545"
"38904689","5543"
"38903578","5543"
"38904253","5543"
"38904749","5543"
"38904749","5545"
"38906158","5543"
"38904826","5543"
"38904826","5545"
"67048986","5543"
"38905153","5543"
"38906192","5544"
"38905133","5544"
"38904932","5544"
"38904283","5544"
"38904032","5545"
"53589154","5545"
"38904452","5545"
"52387622","5545"
"69317991","5545"
"38904913","5545"
"38906221","5545"
"38905048","5545"
"38905038","5545"
"38904467","5545"
"38904468","5545"
"38906544","5545"
"55215620","5545"
"38906227","5545"
"53029262","5545"
"38906829","5545"
"38904465","5545"
"38903654","5545"
"38903654","6004"
"38904879","5545"
"38904879","5604"
"38904373","5545"
"38906744","5545"
"38906744","5627"
"38906896","5545"
"38906896","5610"
"38903885","5545"
"38903885","5554"
"38903885","5585"
"38903885","5669"
"38904940","5546"
"38905465","5546"
"38904649","5546"
"38904938","5546"
"68608170","5546"
"38906223","5546"
"38904026","5546"
"38905103","5546"
"38904939","5546"
"38905463","5546"
"38904215","5547"
"38904215","5550"
"53369289","5547"
"53369289","5550"
"43907018","5547"
"43907018","5550"
"38906333","5547"
"38906333","5550"
"38907023","5547"
"38907023","5550"
"38904892","5548"
"38905021","5548"
"38907080","5548"
"38904857","5548"
"38904857","5669"
"38904108","5548"
"38904814","5548"
"38903580","5548"
"38903580","5587"
"38903580","5573"
"38903580","5576"
"38903580","5586"
"38904815","5548"
"38904212","5548"
"38904212","5550"
"62807528","5550"
"69372150","5550"
"38904199","5550"
"38904199","5551"
"38904199","5556"
"62826627","5550"
"54859494","5550"
"54859494","5612"
"38904877","5550"
"38904877","5551"
"67407427","5550"
"38904844","5550"
"38904844","5631"
"69256199","5550"
"69256199","5634"
"69238907","5550"
"38904901","5550"
"38904901","5553"
"38904933","5550"
"38904675","5550"
"38903726","5550"
"65783233","5550"
"38904851","5550"
"38906995","5550"
"55013850","5550"
"38904860","5550"
"38906768","5550"
"38906767","5550"
"59799353","5550"
"38904802","5550"
"38904802","5551"
"38904802","5631"
"38905093","5551"
"38905944","5551"
"38905944","5669"
"38904909","5551"
"38904092","5551"
"38906556","5551"
"38903464","5551"
"39981848","5551"
"38903421","5551"
"51793857","5551"
"51793857","5562"
"51793857","5563"
"51793857","5564"
"51793857","5610"
"38906731","5551"
"38906574","5551"
"38906652","5551"
"38906653","5551"
"38904886","5551"
"38906766","5551"
"38906205","5551"
"38905796","5551"
"38904327","5551"
"38904418","5551"
"38906945","5551"
"65142962","5551"
"65142962","5612"
"65142962","5631"
"38906681","5551"
"38906895","5551"
"38905491","5551"
"38905491","5600"
"38905491","5622"
"38905491","5630"
"38903975","5551"
"38906630","5551"
"38906906","5551"
"40395917","5551"
"38903905","5551"
"38903905","5669"
"38907054","5551"
"38904028","5551"
"64939674","5551"
"38907119","5551"
"38907119","5609"
"38906914","5552"
"38906914","5562"
"38906914","5563"
"38906914","5564"
"38904983","5552"
"38904983","5556"
"38907316","5552"
"66084518","5552"
"38905524","5552"
"38905524","5553"
"38905524","5567"
"38905525","5552"
"38905527","5552"
"38905527","5635"
"38903830","5552"
"56809622","5553"
"56809622","5554"
"38904873","5553"
"69004307","5553"
"68289181","5553"
"68934343","5553"
"49976044","5553"
"69027454","5553"
"38904872","5553"
"38905101","5554"
"38905101","5584"
"38905101","5585"
"38904948","5559"
"38904948","5560"
"38906355","5559"
"38906362","5559"
"38906363","5559"
"38906559","5559"
"38907313","5559"
"38907313","5612"
"38904947","5560"
"38906887","5560"
"38905665","5560"
"68264909","5560"
"38905682","5560"
"38907290","5560"
"38906266","5560"
"38906270","5560"
"38905642","5560"
"38904952","5560"
"38907050","5560"
"38906618","5560"
"38906236","5560"
"38904953","5560"
"67779019","3521"
"67779019","5571"
"67779019","5615"
"67779019","5617"
"67779019","5619"
"38904929","3521"
"38904929","5571"
"38904929","5615"
"38904929","5617"
"38904929","5619"
"38905791","3521"
"38905791","5567"
"38905791","5571"
"38905791","5615"
"38905791","5617"
"38905791","5619"
"38905791","5659"
"55924501","3521"
"55924501","5571"
"55924501","5615"
"55924501","5617"
"55924501","5619"
"55924501","5656"
"38904707","3521"
"38904707","5571"
"38904707","5672"
"38904707","5615"
"38904707","5617"
"38904707","5619"
"38904707","5668"
"38904341","3521"
"38904341","5571"
"38904341","5672"
"38904341","5615"
"38904341","5617"
"38904341","5619"
"38904341","5659"
"38904341","5668"
"38904342","3521"
"38904342","5571"
"38904342","5672"
"38904342","5615"
"38904342","5617"
"38904342","5619"
"38904342","5659"
"38904342","5668"
"38904147","3521"
"38904147","5571"
"38904147","5615"
"38904147","5617"
"38904147","5619"
"38904147","5668"
"38904812","3521"
"38904812","5571"
"38904812","5672"
"38904812","5615"
"38904812","5617"
"38904812","5619"
"38904812","5659"
"38904812","5668"
"38904277","3521"
"38904277","5571"
"38904277","5672"
"38904277","5615"
"38904277","5617"
"38904277","5619"
"38904277","5653"
"38904277","5668"
"38904832","3522"
"38904832","5591"
"38904832","5618"
"38903420","3522"
"38903420","5618"
"38904871","3522"
"38904871","5618"
"38907181","3522"
"38907181","5618"
"38904904","3522"
"38904904","5592"
"38904904","5618"
"38904856","3522"
"38904856","5591"
"38904856","5610"
"38904856","5618"
"38904856","5638"
"38907159","3522"
"38907159","5618"
"38906595","3522"
"38906595","5568"
"38906595","5618"
"38903552","3522"
"38903552","5618"
"38903552","5638"
"38907032","3522"
"38907032","5590"
"38907032","5601"
"38907032","5618"
"38907032","5656"
"38907293","3522"
"38907293","5618"
"69026240","5556"
"55306188","5556"
"38905746","5556"
"38903821","5556"
"38903501","5556"
"38904937","5556"
"38904937","5557"
"38907194","5556"
"38903700","5556"
"38903700","5557"
"38903998","5556"
"68913948","5556"
"68187850","5556"
"65945187","5556"
"69027973","5556"
"38905556","5556"
"38905556","5557"
"38904443","5556"
"38906709","5556"
"38906709","5557"
"49698889","5556"
"59474138","5556"
"69004347","5556"
