resource_id,neighborhood_id
38903501,8
38903542,3
38903543,3
38903810,5
38903821,7
38903902,5
38903910,5
38903984,7
38904077,5
38904147,5
38904199,5
38904238,1
38904239,1
38904268,5
38904397,1
38904641,1
38904726,2
38905118,9
38905770,7
38905841,1
38905867,3
38905875,9
38905944,1
38906205,5
38906300,5
38906368,6
38906530,3
38906556,2
38906603,6
38906630,9
38906652,5
38907054,5
38907272,1
