38907159	37.517979	-121.929488	37.517979, -121.929488					
38906595	37.681214	-121.751912	37.681214, -121.751912	37.685314, -121.894812	37.66162, -121.8742			
38903552			37.674815, -122.081533					
38907032			37.738816, -122.172403					
38907293			37.703439, -122.12448					
69026240			37.65983, -121.88212					
55306188			37.80647, -122.2685					
38904199	37.762734	-122.157057	37.762734, -122.157057					
38905746	37.590567	-122.046064	37.59978, -122.01848	37.590567, -122.046064				
38903821	37.778403	-122.216989	37.778403, -122.216989					
38903501	37.762734	-122.157057	37.762734, -122.157057					
49976044			37.67775, -121.73696					
38904937			37.763607, -122.258202					
38907194	37.674815	-122.081533	37.674815, -122.081533					
38903700	37.806984	-122.286229	37.806984, -122.286229					
38903998	37.71474	-121.92996	37.71474, -121.92996					
68913948			37.7908, -122.19839					
68187850			37.76931, -122.25989					
65945187			37.52334, -122.03454					
38905556	37.678073	-122.131178	37.67685, -122.11612	37.678073, -122.131178				
38906709	37.80294	-122.20632	37.80294, -122.20632					
49698889			37.79462, -122.24485					
59474138			37.80218, -122.27291					
69026112			37.81018, -122.269073					
38903944	37.633771	-122.061914	37.633771, -122.061914					
69004347			37.81351, -122.26857					
38904443	37.720538	-122.156804	37.720538, -122.156804					
68943226			37.75795, -122.19717					
68289224			37.82739, -122.27838					
38904863	37.806984	-122.286229	37.806984, -122.286229					
38904983			37.538034, -122.03053					
38903803	37.538034	-122.03053	37.5562, -122.01457	37.538034, -122.03053				
51432403	37.80483	-122.27248	37.763607, -122.258202	37.80483, -122.27248				
38904931	37.83444	-122.28906	37.83444, -122.28906					
38907242	37.778403	-122.216989	37.778403, -122.216989					
68869698			44.67477, -73.45974					
68751921			37.8692, -122.29422					
68832155			37.79412, -122.24866					
38906665	37.793068	-122.242902	37.793068, -122.242902					
38906668	37.72608	-122.08038	37.72608, -122.08038					
38903837	37.56283	-122.00044	37.55593, -122.00766	37.56283, -122.00044				
38907083			37.778403, -122.216989					
69026270			37.839, -122.26201					
38904183	37.720538	-122.156804	37.720538, -122.156804					
68751889			37.65983, -121.88212					
47662551			37.53135, -121.9597					
38903476			37.87636, -122.28308					
38904193	37.703439	-122.12448	37.703439, -122.12448					
69027174			37.755967, -122.188088					
69027234			37.74936, -122.20472					
38904914	37.674815	-122.081533	37.674815, -122.081533					
38904003	37.674815	-122.081533	37.674815, -122.081533					
54659218			37.685314, -121.894812					
68288865			37.755967, -122.188088					
68934035			37.70209, -122.13494					
38905032	37.863769	-122.274686	37.863769, -122.274686					
38904270			37.703439, -122.12448	37.72608, -122.08038				
38903713			37.538034, -122.03053					
38904937			37.763607, -122.258202					
38903700	37.806984	-122.286229	37.806984, -122.286229					
38903909	37.738816	-122.172403	37.738816, -122.172403					
38905556	37.678073	-122.131178	37.67685, -122.11612	37.678073, -122.131178				
38906709	37.80294	-122.20632	37.80294, -122.20632					
38903944	37.633771	-122.061914	37.633771, -122.061914					
69027159			37.5562, -122.01457					
38904931	37.83444	-122.28906	37.83444, -122.28906					
38903837	37.56283	-122.00044	37.55593, -122.00766	37.56283, -122.00044				
38904183	37.720538	-122.156804	37.720538, -122.156804					
38904003	37.674815	-122.081533	37.674815, -122.081533					
38904807			37.729225, -121.691025					
38903616	37.72608	-122.08038	37.72608, -122.08038					
38903691	37.778403	-122.216989	37.778403, -122.216989					
38906821			37.763607, -122.258202					
38904386	37.806984	-122.286229	37.806984, -122.286229	37.80982, -122.29697				
38906345	37.867417	-122.259661	37.867417, -122.259661					
38905786	37.678073	-122.131178	37.678073, -122.131178					
38904415			37.806984, -122.286229					
38903961	37.763607	-122.258202	37.763607, -122.258202					
38905053	37.76534	-122.24187	37.76418, -122.24191	37.76534, -122.24187				
38904653	37.738816	-122.172403	37.738816, -122.172403					
38904509			37.54658, -121.97964					
38904331			37.778403, -122.216989					
38904279	37.863769	-122.274686	37.863769, -122.274686					
38904786	37.867417	-122.259661	37.867417, -122.259661					
38904397			37.80727, -122.27429					
38904268	37.762734	-122.157057	37.762734, -122.157057					
38903877	37.755967	-122.188088	37.738816, -122.172403	37.755967, -122.188088				
38904133	37.762734	-122.157057	37.762734, -122.157057					
38904731	37.703439	-122.12448	37.703439, -122.12448					
38906298			37.806984, -122.286229					
38905477	37.81018	-122.269073	37.81018, -122.269073					
38903661	37.526811	-121.964908	37.526811, -121.964908					
38906115			37.526811, -121.964908					
38907003	37.526811	-121.964908	37.55061, -121.97895	37.526811, -121.964908				
38904955	37.867417	-122.259661	37.867417, -122.259661					
38904346			37.778403, -122.216989					
38905050	37.635455	-122.102084	37.635455, -122.102084					
38907283	37.526811	-121.964908	37.526811, -121.964908					
38904347			37.678073, -122.131178					
38907103	37.80294	-122.20632	37.80294, -122.20632					
38906300	37.762734	-122.157057	37.762734, -122.157057					
38904344			37.778403, -122.216989					
38905035	37.526811	-121.964908	37.5584, -121.98197	37.526811, -121.964908				
38903915			37.863769, -122.274686					
38905058	37.729225	-121.691025	37.70039, -121.76366	37.729225, -121.691025				
38905174	37.806984	-122.286229	37.806984, -122.286229					
38904811								
38903864	37.681214	-121.751912	37.681214, -121.751912	37.685314, -121.894812	37.66162, -121.8742			
38905546	37.526811	-121.964908	37.526811, -121.964908	37.517979, -121.929488				
38907042	37.778403	-122.216989	37.77887, -122.22737	37.778403, -122.216989				
38907078	37.720538	-122.156804	37.720538, -122.156804					
38904001	37.80483	-122.27248	37.81018, -122.269073	37.80483, -122.27248				
38904009	37.865566	-122.284909	37.865566, -122.284909					
38904497	37.818366	-122.235131	37.818366, -122.235131					
38905056	37.65843	-121.877	37.69057, -121.92537	37.65843, -121.877				
38905787	37.868479	-122.298324	37.868479, -122.298324					
38905788	37.868479	-122.298324	37.868479, -122.298324					
38905789	37.868479	-122.298324	37.868479, -122.298324					
38905791	37.868479	-122.298324	37.868479, -122.298324					
38905790	37.868479	-122.298324	37.868479, -122.298324					
61856905			37.80294, -122.20632					
38903804			37.79191, -122.24899					
38907044	37.778403	-122.216989	37.77887, -122.22737	37.778403, -122.216989				
38903542	37.835713	-122.263515	37.835713, -122.263515					
56297443								
38906603	37.793068	-122.242902	37.793068, -122.242902					
38906277	37.720538	-122.156804	37.720538, -122.156804					
38906593	37.806984	-122.286229	37.806984, -122.286229					
38906596			37.778403, -122.216989					
38906590	37.635455	-122.102084	37.80294, -122.20632	37.703439, -122.12448	37.762734, -122.157057	37.635455, -122.102084	37.538034, -122.03053	
